,count,unique,top,freq,first,last,mean,std,min,25%,50%,75%,max
F_Bout_URL,5123,5123,http://www.fightmetric.com/fight-details/144c4e65599288c3,1,,,,,,,,,
T_Bout_URL,5123,5123,https://www.tapology.com/fightcenter/bouts/23650-wec-51-mike-brown-vs-cole-province,1,,,,,,,,,
Event_Date,5123,479,2016-11-19 00:00:00,25,2008-01-19 00:00:00,2018-12-29 00:00:00,,,,,,,
FO,5092,3,Fighter_1,3373,,,,,,,,,
F1_URL,5123,1422,http://www.fightmetric.com/fighter-details/1d00756835ca67c9,28,,,,,,,,,
F1_T_ID,5123,1422,donald-cerrone-cowboy,28,,,,,,,,,
F1_BFO_URL,4644,1157,https://www.bestfightodds.com/fighters/Donald-Cerrone-220,28,,,,,,,,,
F2_URL,5123,1883,http://www.fightmetric.com/fighter-details/18968f97ad34f15c,18,,,,,,,,,
F2_T_ID,5123,1883,jeremy-stephens-lil-heathen,18,,,,,,,,,
F2_BFO_URL,4477,1438,https://www.bestfightodds.com/fighters/Jeremy-Stephens-210,18,,,,,,,,,
F1_DOB,5017,1211,1984-07-31 00:00:00,33,1961-12-13 00:00:00,1998-05-18 00:00:00,,,,,,,
FM_F2_5yr_T_Str_L_pM,3667.0,,,,,,5.163980718798384,2.5168367595911785,0.0,3.748156795880849,4.826439409686135,6.173477024397547,32.727272727272684
FM_F2_5yr_T_Str_A_pM_VS,3667.0,,,,,,9.025928499756743,3.6016286900461214,-0.0,6.885426398511666,8.6240264337975,10.776683927566438,81.42857142857144
FM_F2_5yr_T_Str_L_pM_VS,3667.0,,,,,,4.733361183982957,2.391007335686499,0.0,3.383051412214233,4.368156259248298,5.652834676886482,47.14285714285715
FM_F2_5yr_T_TD_A_pM,3667.0,,,,,,0.2892177648470425,0.2848419443461106,0.0,0.0801068090787717,0.22549326652051369,0.4184324887316609,3.7499999999999996
FM_F2_5yr_T_TD_L_pM,3667.0,,,,,,0.12136988878066031,0.13397454657729013,0.0,0.018206665961959828,0.08836524300441827,0.18084733287522298,1.5789473684210538
FM_F2_5yr_T_TD_A_pM_VS,3667.0,,,,,,0.3021175244531254,0.25467798221068566,0.0,0.13333333333333333,0.2666666666666666,0.40853537036330256,2.857142857142858
FM_F2_5yr_T_TD_L_pM_VS,3667.0,,,,,,0.11590280565964421,0.12871333382611533,0.0,0.028756371354344924,0.0879765395894428,0.15919644989754483,1.6216216216216204
FM_F2_5yr_T_SStr_PCT_OQA,3000.0,,,,,,0.25671204165114037,0.07243467223491254,0.01522058823529411,0.21287398923518924,0.2527224438936959,0.29420741713217047,0.9333333333333335
FM_F2_5yr_T_TD_PCT_OQA,893.0,,,,,,0.3620821977017999,0.17543306187658994,0.025454545454545396,0.24810394265232977,0.33347985347985354,0.4493181818181818,1.0
FM_F1_3yr_T_num_bouts,4883.0,,,,,,3.478804013925865,2.521783677459982,0.0,1.0,3.0,5.0,15.0
