F1_ID,Match_ID,Exact_ID,Close_ID,No_Match_DF1,No_Match_DF2,Name_Match,Dates_Match,F2_Match
56532-sajara-eubanks,Sijara-Eubanks-5587,,"Gina Begley Invicta FC 12: Kankaanpaa vs. Souza 2015-04-24
",,,1.0,1,0.99
billy-evangelista,Billy-Evangelista-361,,"Marlon Sims Strikeforce: Shamrock vs Le 2008-03-29
",,"Waachim Spiritwolf Strikeforce Challengers 11 2010-10-22
Mike Aina Sho MMA: Aina vs Evangelista 2009-05-15
Nam Phan Strikeforce: Four Men Enter One Man Survives 2007-11-16
",1.0,1,1.0
douglas-evans,Doug-Evans-64,,"Roger Huerta UFC: The Ultimate Fighter 5 Finale 2007-06-23
",,"Marcelo Guidici Agression MMA 2009-10-24
",0.87,1,1.0
28705-ashlee-evans-smith,Ashlee-Evans-Smith-4444,,"Fallon Fox Championship Fighting Alliance 12 2013-10-12
",,,1.0,1,1.0
dan-evensen-the-viking,Dan-Evensen-766,,"Cheick Kongo UFC 87: Seek And Destroy 2008-08-09
",,,1.0,1,1.0
tonya-evinger,Tonya-Evinger-235,"Ediane Gomes Invicta FC 8 2014-09-06
","Ediane Gomes Invicta FC 8 2014-09-06
Gina Carano EliteXC: Uprising 2007-09-15
",,,1.0,1,1.0
116569-andre-ewell,Andre-Ewell-8076,,"Trent Meaux LFA 36: Simon vs. Zani 2018-03-23
",,,1.0,1,0.99
14208-jessica-eye,Jessica-Eye-2817,,"Casey Noland Bellator Fighting Championship 51 2011-09-24
",,,1.0,1,0.99
edward-faaloloto-falo,Edward-Faaloloto-2153,,"Anthony Njokuani WEC 52: Faber vs. Mizugaki 2010-11-11
",,,1.0,1,1.0
wagnney-fabiano-the-silencer,Wagnney-Fabiano-324,,"John Gunderson IFL: Grand Prix Semifinals 2007-11-03
",,,1.0,1,0.99
42863-bartosz-fabinski,Bartosz-Fabinski-5555,,"Garreth McLellan UFC Fight Night 64: Gonzaga vs. Cro Cop II 2015-04-11
",,,0.94,1,1.0
brodie-farber,Brodie-Farber-784,,"Rory Markham UFC Fight Night 14: Silva vs Irvin 2008-07-19
",,,1.0,1,1.0
chance-farrar,Chance-Farrar-471,"Micah Miller WEC 32 2008-02-13
",,,,1.0,1,1.0
51885-kelly-faszholz,Kelly-Faszholz-6036,,"Lauren Murphy UFC Fight Night 83: Cowboy vs. Cowboy 2016-02-21
",,,1.0,1,1.0
19266-paul-felder,Paul-Felder-5116,,"Jason Saggo UFC Fight Night 54: MacDonald vs. Saffiedine 2014-10-04
",,,1.0,1,0.99
alexandre-ferreira-cacareco,Alexandre-Ferreira-530,,"Lew Polley IFL: Las Vegas 2008-02-29
",,"Alavutdin Gadzhiyev DREAM 4 2008-06-15
",1.0,1,1.0
drew-fickett-the-master,Drew-Fickett-53,"Ronnys Torres Amazon Forest Combat 1 2011-09-14
","Ronnys Torres Amazon Forest Combat 1 2011-09-14
Anthony Lapsley HDNet Fights 1 2007-10-13
",,,1.0,1,0.92
paulo-filho-ely,Paulo-Filho-145,"Satoshi Ishii Amazon Forest Combat 1 2011-09-14
Joe Doerksen WEC 29 2007-08-05
","Satoshi Ishii Amazon Forest Combat 1 2011-09-14
Chael Sonnen WEC 31: Faber vs Curran 2007-12-12
",,"Murilo Rua Iron Man Championship 15 2012-07-31
Denis Kang Impact FC 2: The Uprising 2010-07-18
",1.0,1,1.0
mirko-filipovic-cro-cop,Mirko-Filipovic-59,,"Cheick Kongo UFC 75: Champion vs Champion 2007-09-08
",,"Anthony Perosh UFC 110: Nogueira vs. Velasquez 2010-02-21
",0.93,1,0.95
jesse-finney,Jesse-Finney-1296,,"Josh Bumgarner Strikeforce: Shields vs Lawler 2009-06-06
",,,1.0,1,1.0
luigi-fioravanti-the-italian-tank,Luigi-Fioravanti-8,"Nodar Kuduxashvili M-1 Challenge 55 2015-02-21
","Nodar Kuduxashvili M-1 Challenge 55 2015-02-21
Luke Cummo UFC 82: Pride Of A Champion 2008-03-01
",,,1.0,1,0.98
luiz-firmino-buscape,Luiz-Firmino-577,"Brian Foster WSOF 33 2016-10-07
John Alessio Superior Cage Combat 3 2011-11-04
","Brian Foster WSOF 33 2016-10-07
John Alessio Superior Cage Combat 3 2011-11-04
Kazuyuki Miyata DREAM 1 2008-03-15
",,,1.0,1,1.0
17032-chris-fishgold,Chris-Fishgold-3864,"Olivier Pastor Cage Warriors 62 2013-12-07
","Olivier Pastor Cage Warriors 62 2013-12-07
Steve Okeeffe Cage Warriors 52: Grimaud vs. Pendred 2013-03-09
",,,1.0,1,0.98
aj-fonseca,A-J-Fonseca-1701,,"Alex Crispim Strikeforce: Evolution 2009-12-19
",,,0.95,1,1.0
jesse-forbes-kid-hercules,Jesse-Forbes-207,"Bryan Baker WEC 30 2007-09-05
","Nick Catone UFC Fight Night 20: Maynard vs Diaz 2010-01-11
",,,1.0,1,1.0
