,Event_Date,Event_Name,Event_ID,F1_Name,F2_Name,F1_ID,F2_ID
4547,2011-07-22,Strikeforce Challengers 17,07f72a2a7591b409,Sterling Ford,Brian McLaughlin,a71ce6ff0b4a9dbb,6488729da7ac1c79
4548,2011-08-12,Strikeforce Challengers 18,184b955181bdef52,Sterling Ford,Milton Vieira,a71ce6ff0b4a9dbb,7cf20446453f852b
4549,2016-06-18,UFC Fight Night: MacDonald vs Thompson,563d051c9e769b24,Steve Bosse,Sean O'Connell,e023fa2e648ea0f1,cb52f9490c2dc069
4550,2008-12-10,UFC Fight Night - Fight for the Troops,30cd319d39ee689b,Steve Bruno,Johnny Rees,2f3f12002564bb55,3ba3b5cc94498437
4551,2008-03-26,WEC 33: Marshall vs. Stann,c96518b7f6881004,Steve Cantwell,Tim McKenzie,f1f9e48a0d150757,9ca265dfe8323db3
4552,2008-08-03,WEC 35: Condit vs. Miura,a85998eb79650b2c,Steve Cantwell,Brian Stann,f1f9e48a0d150757,579fcdfcabd23a7b
4553,2008-12-10,UFC Fight Night - Fight for the Troops,30cd319d39ee689b,Steve Cantwell,Razak Al-Hassan,f1f9e48a0d150757,38b50fd1e1b5b656
4554,2011-03-03,UFC on VERSUS: Sanchez vs Kampmann,a54fc2d6fc224dc3,Steve Cantwell,Cyrille Diabate,f1f9e48a0d150757,43563a32c3f10e95
4555,2011-10-08,UFC 136: Edgar vs Maynard 3,7d5b12de1625984e,Steve Cantwell,Mike Massenzio,f1f9e48a0d150757,5b2d7906aa894274
4556,2009-06-19,Strikeforce Challengers 2,56b8b24f65f9f057,Steve Hadsel,Taylor Roberts,99793cf88c5adeee,c5ec23983dc2d8f4
4557,2010-09-25,UFC 119: Mir vs Cro Cop,ad32471f01e7b1a5,Steve Lopez,Waylon Lowe,6085ceb59087514b,28f62d866c59c709
4558,2015-06-27,UFC Fight Night: Machida vs Romero,86e388ed20761ad9,Steve Montgomery,Tony Sims,6e92eb1242b46636,57bad6a84230f0c9
4559,2018-02-18,UFC Fight Night: Cerrone vs. Medeiros,d181689653115b6a,Steven Peterson,Brandon Davis,b93c06d09d1c4ac0,cc351e408bbb7d43
4560,2011-12-03,The Ultimate Fighter 14 Finale: Team Bisping vs Team Miller,1f5f75658551f2d3,Steven Siler,Josh Clopton,d188a3b817860ec6,48e96d9cea6d4ab0
4561,2012-06-22,UFC on FX: Maynard vs Guida,505934897b8b4824,Steven Siler,Joey Gambino,d188a3b817860ec6,10559c53de0b950e
4562,2012-11-17,UFC 154: St-Pierre vs Condit,d41937647eae9a34,Steven Siler,Darren Elkins,d188a3b817860ec6,92a9aa9c93192871
4563,2013-04-27,UFC 159: Jones vs Sonnen,ea0ad155451ed1f5,Steven Siler,Kurt Holobaugh,d188a3b817860ec6,a7151778b3381036
4564,2014-07-26,UFC on Fox: Lawler vs Brown,05fbfe628658c538,Steven Siler,Noad Lahat,d188a3b817860ec6,9f755fb04cc21499
4565,2015-07-18,UFC Fight Night: Bisping vs Leites,ef7fa30364cbe7f2,Stevie Ray,Leonardo Mafra,31a13532e724ca2b,8bbc0cfc01bc1ba1
4566,2015-10-24,UFC Fight Night: Holohan vs Smolka,f3155a94ca420126,Stevie Ray,Mickael Lebout,31a13532e724ca2b,c575ab451e3c5b1d
4567,2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,d7907a9a968e4d29,Stevie Ray,Paul Felder,31a13532e724ca2b,e5010b1b94ca5755
4568,2018-03-17,UFC Fight Night: Werdum vs. Volkov,eed2b71d77d95416,Stevie Ray,Kajan Johnson,31a13532e724ca2b,633a45d131192ffe
4569,2018-10-27,UFC Fight Night: Oezdemir vs. Smith,33a331684283900f,Stevie Ray,Jessin Ayari,31a13532e724ca2b,6eaec40f724852f4
4570,2012-02-15,UFC on FUEL TV: Sanchez vs Ellenberger,0a97691039c4bbfb,Stipe Miocic,Philip De Fries,d28dee5c705991df,6ef65b6a152e49d5
4571,2012-05-26,UFC 146: Dos Santos vs Mir,4985113c0928aa62,Stipe Miocic,Shane del Rosario,d28dee5c705991df,85980f5da429c0a6
4572,2014-01-25,UFC on Fox: Henderson vs Thomson,a8d521d913df4e31,Stipe Miocic,Gabriel Gonzaga,d28dee5c705991df,270b89c00ef0c55c
4573,2014-05-31,TUF Brazil Finale: Miocic vs Maldonado,59aaf2730b84698a,Stipe Miocic,Fabio Maldonado,d28dee5c705991df,1fb80f46d3c105d9
4574,2015-05-09,UFC Fight Night: Miocic vs Hunt,8a1b4330c7957961,Stipe Miocic,Mark Hunt,d28dee5c705991df,eef9b891edbd4604
4575,2016-01-02,UFC 195: Lawler vs Condit,380e8b023290d091,Stipe Miocic,Andrei Arlovski,d28dee5c705991df,3738e68d2261e60f
4576,2016-09-10,UFC 203: Miocic vs. Overeem,2dc7f1762dc0a7ef,Stipe Miocic,Alistair Overeem,d28dee5c705991df,b4ad3a06ee4d660c
4577,2017-05-13,UFC 211: Miocic vs. Dos Santos,5df10509264586e5,Stipe Miocic,Junior Dos Santos,d28dee5c705991df,63def5a5662a6917
4578,2018-01-20,UFC 220: Miocic vs. Ngannou,02177caefe7c07d4,Stipe Miocic,Francis Ngannou,d28dee5c705991df,8d03ce87ca14e778
4579,2018-07-07,UFC 226: Miocic vs. Cormier,35585d970300d45a,Stipe Miocic,Daniel Cormier,d28dee5c705991df,d967f0128c323de6
4580,2011-01-07,Strikeforce Challengers 13,3bad7ef643840f67,Stoney Hale,Gerric Hayes,206a7d47eb62170e,7d6a3546c988cdc0
